Experiment_id,Artist,Title,Lastfm_tag
1.0,Emilíana Torrini,Jungle Drum,fun
2.0,Lustra,Scotty Doesn't Know,exciting
11.0,Michael Franti & Spearhead,Say Hey (I Love You),happy
3.0,Jackson 5,Blame It On The Boogie,joy
12.0,Grand Archives,Miniature Birds,cheerful
13.0,Bright Eyes,First Day Of My Life,love
14.0,Jason Mraz,I'm Yours,happy
15.0,Bishop Allen,Butterfly Nets,lovely
22.0,Porcupine Tree,Normal,sentimental
23.0,Wilco,How To Fight Loneliness,melancholy
16.0,The Submarines,Darkest Things,sentimental
24.0,James Blunt,Goodbye My Lover,sad
25.0,A Fine Frenzy,Goodbye My Almost Lover,depressing
26.0,Kings Of Convenience,The Weight Of My Words,mellow
31.0,Mortemia,The One I Once Was,terrible
32.0,Marilyn Manson,The Beautiful People,shock
33.0,Dead To Fall,Bastard Set Of Dreams,hate
4.0,The B52'S,Love Shack,happy
5.0,Blur,Song 2,energetic
6.0,Blink 182,First Date,nostalgic
7.0,Benny Benassi,Satisfaction,fun
17.0,Air,Moon Safari,relaxed
18.0,Louis Armstrong,What A Wonderful World,uplifting
19.0,Manu Chao,Me Gustas Tu,chill
8.0,Lily Allen,Fuck You,playful
20.0,Taylor Swift,Love Story,romantic
9.0,Queen,I Want To Break Free,empowered
27.0,Madonna,Rain,mellow
28.0,Sia,Breathe Me,heartbroken
29.0,Christina Aguilera,Hurt,heartbroken
30.0,Enya,May It Be (Saving Private Ryan),peaceful
34.0,Dj Paul Elstak,A Hardcore State Of Mind,intense
21.0,Diamanda Galas,Gloomy Sunday,melancholy
35.0,Napalm Death,Procrastination On The Empty Vessel,despair
36.0,Sepultura,Refuse Resist,rebellious
37.0,Cradle Of Filth,Scorched Earth Erotica,dark
38.0,Gorgoroth,Carving A Giant,aggressive
39.0,Dark Funeral,My Funeral,grim
10.0,Rage Against The Machine,Bombtrack,angry
40.0,Arch Enemy,My Apocalypse,destructive
